title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
1982 Toyota Land Cruiser FJ60,27000,2022-02-22,sold,9449,614,34,20,california,1982,fj60,241000,2F,manual,brown,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-11/
Cummins-Powered 1983 Toyota Land Cruiser FJ60 4-Speed,43500,2022-02-20,sold,25445,1305,91,37,california,1983,fj60,164000,Other(Swapped),manual,tan,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-40/
LS3-Powered 1989 Toyota Land Cruiser FJ62,100000,2022-02-19,sold,16356,839,46,40,north carolina,1989,fj62,6000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-125/
No Reserve: 1988 Toyota Land Cruiser FJ62,34250,2022-02-18,sold,8357,606,30,27,indiana,1988,fj62,262000,3F-E,automatic,gold,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-88/
Modified 1981 Toyota Land Cruiser FJ60 5-Speed,23250,2022-02-18,reserve not met,13885,762,63,10,arizona,1981,fj60,59000,Other(Swapped),manual,gray,https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-7/
1988 Toyota Land Cruiser FJ62,36000,2022-02-17,sold,10735,724,41,27,texas,1988,fj62,201000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-90/
TLC 4×4-Modified 1989 Toyota Land Cruiser FJ62,97000,2022-02-11,sold,19337,829,65,37,north carolina,1989,fj62,246000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-130/
1989 Toyota Land Cruiser FJ62,13500,2022-02-11,sold,8738,538,24,34,california,1989,fj62,391000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-122/
1988 Toyota Land Cruiser FJ62,56000,2022-02-10,sold,8791,665,47,47,arizona,1988,fj62,136000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-89/
1984 Toyota Land Cruiser FJ60,21000,2022-02-09,sold,9186,676,22,28,washington,1984,fj60,241000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-71/
1984 Toyota Land Cruiser FJ60,17250,2022-02-08,sold,11389,851,35,46,oregon,1984,fj60,196000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-69/
1987 Toyota Land Cruiser FJ60 5-Speed,25000,2022-02-07,reserve not met,9730,737,16,19,ohio,1987,fj60,218000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-104/
1FZ-Powered 1989 Toyota Land Cruiser FJ62 5-Speed,29000,2022-02-07,reserve not met,13595,917,27,30,florida,1989,fj62,200000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-128/
1989 Toyota Land Cruiser FJ62,19500,2022-02-06,sold,11928,809,19,18,washington,1989,fj62,288000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-124/
No Reserve: Vortec-Powered 1987 Toyota Land Cruiser FJ60,51500,2022-02-05,sold,15352,1076,49,44,texas,1987,fj60,900,Other(Swapped),automatic,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-105/
No Reserve: 1989 Toyota Land Cruiser FJ62,23500,2022-02-03,sold,8971,742,12,41,tennessee,1989,fj62,266000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-127/
1982 Toyota Land Cruiser FJ60,16000,2022-02-01,sold,8607,628,14,11,virginia,1982,fj60,207000,2F,manual,blue,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-10/
1986 Toyota Land Cruiser FJ60,47000,2022-02-01,reserve not met,22737,1160,64,31,california,1986,fj60,118000,2F,manual,beige,https://bringatrailer.com/listing/1986-toyota-land-cruiser-22/
1984 Toyota Land Cruiser FJ60 5-Speed,40000,2022-01-30,sold,7206,578,13,31,colorado,1984,fj60,215000,2F,manual,orange,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-70/
1989 Toyota Land Cruiser FJ62,47000,2022-01-29,sold,8142,673,22,21,arizona,1989,fj62,206000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-123/
1988 Toyota Land Cruiser FJ62,35250,2022-01-27,sold,9074,625,41,10,florida,1988,fj62,166000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-38/
1986 Toyota Land Cruiser FJ60 5-Speed,17250,2022-01-25,sold,9377,644,33,18,california,1986,fj60,296000,2F,manual,white,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-43/
1986 Toyota Land Cruiser FJ60,66000,2022-01-24,sold,16901,946,60,50,oregon,1986,fj60,119000,2F,manual,blue,https://bringatrailer.com/listing/1986-toyota-land-cruiser-21/
Vortec-Powered 1985 Toyota Land Cruiser FJ60,29000,2022-01-22,sold,13035,851,28,33,arizona,1985,fj60,277000,Other(Swapped),automatic,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-100/
1983 Toyota Land Cruiser FJ60,32000,2022-01-17,sold,14010,967,48,41,new jersey,1983,fj60,136000,2F,manual,brown,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-37/
1987 Toyota Land Cruiser FJ60 5-Speed,49750,2022-01-16,sold,18482,1016,148,67,california,1987,fj60,100000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-99/
1989 Toyota Land Cruiser FJ62,28500,2022-01-13,sold,3469,226,9,6,michigan,1989,fj62,198000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-119-2/
1988 Toyota Land Cruiser FJ62,16000,2022-01-13,sold,10011,668,17,5,arkansas,1988,fj62,72000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-86/
1989 Toyota Land Cruiser FJ62,25000,2022-01-12,sold,6536,525,30,16,michigan,1989,fj62,198000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-119/
1989 Toyota Land Cruiser FJ62,83000,2022-01-11,sold,22580,999,65,32,florida,1989,fj62,70000,3F-E,automatic,red,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-103/
1982 Toyota Land Cruiser FJ60,49000,2022-01-10,sold,21046,1174,96,47,south carolina,1982,fj60,106000,2F,manual,beige,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-8/
1985 Toyota Land Cruiser FJ60,23250,2022-01-09,sold,13282,794,30,46,virginia,1985,fj60,240000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-toyota-landcruiser-fj60/
1989 Toyota Land Cruiser FJ62,48500,2022-01-08,sold,12921,725,53,56,oregon,1989,fj62,291000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-120/
No Reserve: Rover V8-Powered 1987 Toyota Land Cruiser 5-Speed,9800,2022-01-06,sold,13531,716,79,4,new york,1987,fj60,136000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-96/
1990 Toyota Land Cruiser FJ62,18500,2022-01-05,reserve not met,10938,709,52,23,michigan,1990,fj62,302000,3F-E,automatic,gray,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-52/
1988 Toyota Land Cruiser FJ62,33500,2021-12-28,sold,9907,679,32,37,new mexico,1988,fj62,156000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-85/
No Reserve: 27-Years-Owned 1987 Toyota Land Cruiser FJ60,16500,2021-12-21,sold,11196,770,27,35,arizona,1987,fj60,300000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-95/
5.3L-Powered 1989 Toyota Land Cruiser FJ62,54000,2021-12-20,sold,12453,778,80,49,arizona,1989,fj62,8000,Other(Swapped),automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-111/
1988 Toyota Land Cruiser FJ62,46750,2021-12-20,sold,12676,871,46,62,arkansas,1988,fj62,266000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-36/
1982 Toyota Land Cruiser FJ60,33250,2021-12-17,sold,12136,772,46,24,new hampshire,1982,fj60,189000,2F,manual,white,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-9/
1989 Toyota Land Cruiser FJ62,60000,2021-12-15,sold,13189,694,94,37,california,1989,fj62,158000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-113/
Vortec-Powered 1984 Toyota Land Cruiser FJ60,24750,2021-12-13,reserve not met,8155,460,27,25,missouri,1984,fj60,204000,Other(Swapped),manual,tan,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-67/
1987 Toyota Land Cruiser FJ60,23500,2021-12-09,reserve not met,7907,539,8,12,florida,1987,fj60,188000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-93/
1989 Toyota Land Cruiser FJ62,41500,2021-12-07,sold,11276,746,39,49,north carolina,1989,fj62,109000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-106/
No Reserve: 1989 Toyota Land Cruiser FJ62,12000,2021-12-06,sold,13838,825,23,21,virginia,1989,fj62,139000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-110/
