title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
66k-Mile 1989 Toyota Land Cruiser FJ62,45250,2020-06-25,sold,21311,747,42,10,new mexico,1989,fj62,66000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-13/
1989 Toyota Land Cruiser FJ62,24750,2020-06-24,sold,9526,620,26,29,virginia,1989,fj62,164000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-42/
1988 Toyota Land Cruiser FJ62 5-Speed,46000,2020-06-11,sold,27110,714,78,20,oregon,1988,fj62,213000,3F-E,manual,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-37/
Modified 1985 Toyota Land Cruiser FJ60 V8 4-Speed,13750,2020-06-09,reserve not met,17210,773,46,41,iowa,1985,fj60,239000,Other(Swapped),manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-45/
1989 Toyota Land Cruiser FJ62,22250,2020-06-04,sold,8778,616,8,19,oklahoma,1989,fj62,135000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-12/
1988 Toyota Land Cruiser FJ62,15000,2020-06-02,reserve not met,12620,633,10,3,missouri,1988,fj62,218000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-29/
Diesel 1985 Toyota Land Cruiser FJ60,47000,2020-05-28,sold,22905,921,64,25,california,1985,fj60,227000,2H,manual,tan,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-49/
32k-Mile 1989 Toyota Land Cruiser FJ62,80000,2020-05-27,sold,27832,699,92,14,north carolina,1989,fj62,32000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-40/
1989 Toyota Land Cruiser FJ62,29500,2020-05-26,sold,11476,620,33,25,colorado,1989,fj62,143000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-37/
1984 Toyota Land Cruiser FJ60,25750,2020-05-21,sold,13577,768,44,38,california,1984,fj60,92000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-32/
1987 Toyota Land Cruiser FJ60,21250,2020-05-14,sold,20513,882,76,20,california,1987,fj60,166000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-44/
1984 Toyota Land Cruiser FJ60,19750,2020-05-11,sold,19249,992,46,37,california,1984,fj60,164000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-40/
1984 Toyota Land Cruiser FJ60,20000,2020-05-07,reserve not met,29864,1372,45,18,alabama,1984,fj60,278000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-41/
57k-Mile 1990 Toyota Land Cruiser FJ62,66500,2020-04-30,sold,37799,1138,155,24,pennsylvania,1990,fj62,57000,3F-E,automatic,red,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-29/
1988 Toyota Land Cruiser FJ62,23250,2020-04-29,sold,16925,956,39,44,texas,1988,fj62,188000,3F-E,automatic,silver,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-34/
No Reserve: 1988 Toyota Land Cruiser FJ62,14000,2020-04-01,sold,15643,696,29,29,canada j7c,1988,fj62,198000,3F-E,automatic,tan,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-30/
1983 Toyota Land Cruiser FJ60,14250,2020-03-26,reserve not met,11838,621,25,26,colorado,1983,fj60,156000,2F,manual,red,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-18/
One-Owner 1988 Toyota Land Cruiser FJ62,28000,2020-03-19,reserve not met,18492,694,29,12,florida,1988,fj62,68000,3F-E,automatic,gray,https://bringatrailer.com/listing/1998-toyota-land-cruiser-7/
1986 Toyota Land Cruiser FJ60,31250,2020-03-11,sold,20515,835,68,25,missouri,1986,fj60,178000,2F,manual,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-7/
1984 Toyota Land Cruiser FJ60,7369,2020-03-05,sold,14434,559,68,16,california,1984,fj60,198000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-38/
1988 Toyota Land Cruiser FJ62,15000,2020-03-04,sold,9019,434,31,5,california,1988,fj62,255000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-13/
1989 Toyota Land Cruiser FJ62,13000,2020-02-26,sold,14358,678,27,21,canada,1989,fj62,223000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-34/
1988 Toyota Land Cruiser FJ62,14150,2020-02-10,sold,17286,762,33,34,california,1988,fj62,163000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-33/
1984 Toyota Land Cruiser FJ60,24112,2020-02-07,sold,11390,589,44,15,alabama,1984,fj60,124000,2F,manual,red,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-29/
1988 Toyota Land Cruiser FJ62,39750,2020-02-04,sold,22686,775,87,20,texas,1988,fj62,172000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-26/
1988 Toyota Land Cruiser FJ62,19100,2020-01-28,sold,10918,552,39,18,california,1988,fj62,131000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-31/
1982 Toyota Land Cruiser FJ60,26800,2020-01-23,sold,21572,750,66,21,missouri,1982,fj60,89000,2F,manual,silver,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60/
1990 Toyota Land Cruiser FJ62,16888,2020-01-21,sold,14285,659,40,21,oregon,1990,fj62,258000,3F-E,automatic,red,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-27/
1987 Toyota Land Cruiser FJ60 5-Speed,12000,2020-01-16,reserve not met,14345,645,24,16,north carolina,1987,fj60,230000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-42/
1984 Toyota Land Cruiser FJ60,17250,2020-01-10,sold,15735,699,37,31,canada,1984,fj60,222000,3B,manual,red,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-35/
1983 Toyota Land Cruiser FJ60 5-Speed,24750,2020-01-09,reserve not met,31131,1067,97,20,missouri,1983,fj60,87000,2F,manual,brown,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj40-10/
1990 Toyota Land Cruiser FJ62,18500,2020-01-03,sold,15623,643,20,24,alabama,1990,fj62,210000,3F-E,automatic,white,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-26/
1987 Toyota Land Cruiser FJ60,20500,2020-01-02,sold,29037,795,25,27,tennessee,1987,fj60,150000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-41/
19-Years-Owned 1988 Toyota Land Cruiser FJ62,22000,2019-12-27,sold,16076,871,43,45,california,1988,fj62,130000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-28/
1983 Toyota Land Cruiser FJ60,18500,2019-12-26,sold,10781,541,44,36,ohio,1983,fj60,233000,2F,manual,beige,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-17/
1985 Toyota Land Cruiser FJ60,14000,2019-12-19,reserve not met,9702,540,27,23,florida,1985,fj60,154000,2F,manual,beige,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-17/
1985 Toyota Land Cruiser FJ60,9500,2019-12-12,sold,13891,629,47,8,tennessee,1985,fj60,143000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-43/
59k-Mile 1984 Toyota Land Cruiser FJ60,51000,2019-12-11,sold,38376,969,149,11,iowa,1984,fj60,59000,2F,manual,red,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-34/
No Reserve: 1990 Toyota Land Cruiser FJ62,13050,2019-11-29,sold,22081,737,15,15,alabama,1990,fj62,222000,3F-E,automatic,gray,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-25/
1983 Toyota Land Cruiser FJ60,21248,2019-11-22,sold,16849,839,46,31,georgia,1983,fj60,163000,2F,manual,red,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-16/
1990 Toyota Land Cruiser FJ62,17500,2019-11-21,sold,7997,406,38,18,washington,1990,fj62,195000,3F-E,automatic,beige,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-24/
LS3-Powered 1987 Toyota Land Cruiser FJ60,37000,2019-11-20,sold,15545,618,52,23,alabama,1987,fj60,6500,Other(Swapped),automatic,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-39/
No Reserve: 1985 Toyota Land Cruiser FJ60,21850,2019-11-15,sold,21199,884,45,21,alabama,1985,fj60,171000,2F,manual,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-40/
1990 Toyota Land Cruiser FJ62,19500,2019-11-08,reserve not met,14648,679,26,34,maryland,1990,fj62,148000,3F-E,automatic,,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-23/
1984 Toyota Land Cruiser FJ60,10500,2019-11-05,reserve not met,11539,437,33,11,new jersey,1984,fj60,128000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-31/
No Reserve: 1989 Toyota Land Cruiser FJ62,16500,2019-11-01,sold,14077,660,31,23,alabama,1989,fj62,220000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-8/
LS-Powered 1986 Toyota Land Cruiser FJ60,20000,2019-10-25,reserve not met,30445,1105,97,19,texas,1986,fj60,2000,Other(Swapped),automatic,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-16/
1988 Toyota Land Cruiser FJ62,27500,2019-10-17,sold,10876,575,73,26,idaho,1988,fj62,154000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-25/
72k-Mile 1985 Toyota Land Cruiser FJ60,28000,2019-10-11,reserve not met,14786,663,53,31,wyoming,1985,fj60,72000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-39/
1988 Toyota Land Cruiser FJ62,23000,2019-10-07,sold,14916,691,45,25,oklahoma,1988,fj62,89000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-24/
1987 Toyota Land Cruiser FJ60,24254,2019-10-04,reserve not met,16983,863,50,43,missouri,1987,fj60,151000,2H,manual,white,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-34/
6.0L Vortec V8-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,42500,2019-10-03,sold,36513,1096,125,61,,1985,fj60,235000,Other(Swapped),manual,green,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-33/
1985 Toyota Land Cruiser FJ60 5-Speed,18000,2019-09-27,reserve not met,11242,407,31,9,california,1985,fj60,290000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-35/
1988 Toyota Land Cruiser FJ62,16000,2019-09-26,sold,9976,490,50,32,california,1988,fj62,210000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-25/
Original-Owner 1987 Toyota Land Cruiser FJ60,19770,2019-09-20,sold,12352,571,30,23,california,1987,fj60,158000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-36/
1989 Toyota Land Cruiser FJ62,26500,2019-09-19,reserve not met,17017,709,29,27,virginia,1989,fj62,116000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-26/
1987 Toyota Land Cruiser HJ60 Diesel,23250,2019-09-17,reserve not met,17054,645,39,35,connecticut,1987,hj60,121000,2H,automatic,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-hj60-7/
1990 Toyota Land Cruiser FJ62,24000,2019-09-09,sold,20950,739,29,28,texas,1990,fj62,184000,3F-E,automatic,silver,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-19/
1984 Toyota Land Cruiser FJ60,20250,2019-08-19,reserve not met,13729,510,54,20,iowa,1984,fj60,114000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-28/
1985 Toyota Land Cruiser FJ60,13000,2019-08-15,sold,10487,520,50,42,tennessee,1985,fj60,219000,2F,manual,red,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-34/
1985 Toyota Land Cruiser FJ60,25251,2019-08-09,sold,15633,654,41,29,texas,1985,fj60,173000,2F,manual,,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-32/
No Reserve: 1987 Toyota Land Cruiser FJ60,11700,2019-08-08,sold,13876,721,50,25,michigan,1987,fj60,145000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-33/
1984 Toyota Land Cruiser FJ60,24500,2019-07-17,sold,17927,671,70,43,oregon,1984,fj60,128000,2F,manual,tan,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-27/
Modified 1985 Toyota Land Cruiser FJ60,12750,2019-07-15,sold,22797,574,81,27,texas,1985,fj60,305000,Other(Swapped),manual,tan,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-21/
1985 Toyota Land Cruiser FJ60,36000,2019-07-12,sold,24951,666,99,7,california,1985,fj60,63000,2F,manual,red,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-30/
1987 Toyota Land Cruiser FJ60,27500,2019-07-05,reserve not met,19822,714,90,25,montana,1987,fj60,258000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-32/
1988 Toyota Land Cruiser FJ62 5-Speed,17250,2019-07-02,reserve not met,13163,683,58,29,florida,1988,fj62,175000,3F-E,manual,black,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-15/
No Reserve: 1988 Toyota Land Cruiser FJ62,7800,2019-06-18,sold,11120,450,38,44,california,1988,fj62,194000,3F-E,automatic,tan,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-20/
1989 Toyota Land Cruiser FJ62,20062,2019-06-13,sold,17618,745,88,34,california,1989,fj62,176000,3F-E,automatic,silver,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-24/
No Reserve: 1989 Toyota Land Cruiser FJ62,24250,2019-06-11,sold,14432,814,96,44,oregon,1989,fj62,178000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-25/
1984 Toyota Land Cruiser FJ60,10600,2019-06-10,sold,15133,611,38,12,georgia,1984,fj60,211000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-26/
No Reserve: 58k-Mile 1985 Toyota Land Cruiser FJ60,55000,2019-05-31,sold,23518,750,123,42,canada,1985,fj60,58000,2F,manual,red,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-27/
1987 Toyota Land Cruiser FJ60,8000,2019-05-27,reserve not met,8545,398,19,5,california,1987,fj60,218000,2F,manual,brown,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-31/
LS-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,23250,2019-05-22,reserve not met,24697,886,94,18,utah,1985,fj60,175000,Other(Swapped),manual,green,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-25/
1986 Toyota Land Cruiser FJ60,15750,2019-05-20,sold,9518,522,31,18,texas,1986,fj60,222000,2F,manual,white,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-13/
1989 Toyota Land Cruiser FJ62,9300,2019-05-13,reserve not met,15462,708,46,17,washington,1989,fj62,261000,3F-E,automatic,red,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-23/
No Reserve: 1987 Toyota Land Cruiser FJ60,7600,2019-05-03,sold,11979,597,38,34,pennsylvania,1987,fj60,119000,2F,manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-30/
57k-Mile 1989 Toyota Land Cruiser FJ62,23500,2019-05-01,sold,11629,635,69,32,washington,1989,fj62,57000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-21/
1983 Toyota Land Cruiser FJ60,12500,2019-04-30,reserve not met,26024,926,88,11,texas,1983,fj60,165000,2F,manual,brown,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-14/
1985 Toyota Land Cruiser FJ60,16500,2019-04-19,sold,12832,639,80,45,idaho,1985,fj60,207000,2F,manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-23/
1988 Toyota Land Cruiser FJ62,17750,2019-04-09,sold,14761,743,90,39,texas,1988,fj62,213000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-14/
1989 Toyota Land Cruiser HJ61,17000,2019-03-01,sold,17206,419,76,19,idaho,1989,hj61,167000,12H-T,automatic,silver,https://bringatrailer.com/listing/1989-toyota-land-cruiser-5/
1984 Toyota Land Cruiser FJ60,13000,2019-02-21,reserve not met,21294,618,56,23,texas,1984,fj60,202000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-22/
1982 Toyota Land Cruiser FJ60,10000,2019-02-18,reserve not met,16058,659,75,30,arizona,1982,fj60,223000,2F,manual,,https://bringatrailer.com/listing/1982-toyota-fj60-land-cruiser-wagon/
1987 Toyota Land Cruiser FJ60,17000,2019-02-11,reserve not met,14351,679,46,32,florida,1987,fj60,108000,2F,manual,,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-23/
1986 Toyota Land Cruiser FJ60,16000,2019-01-29,reserve not met,12427,526,73,26,colorado,1986,fj60,156000,2F,manual,white,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-10/
1987 Toyota Land Cruiser FJ60,21250,2019-01-22,sold,13270,531,113,28,alabama,1987,fj60,146000,2F,manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-20/
1988 Toyota Land Cruiser FJ62,15000,2019-01-11,sold,11624,444,33,14,new mexico,1988,fj62,242000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-6/
1984 Toyota Land Cruiser FJ60 5-Speed,20000,2019-01-07,sold,24357,658,55,11,missouri,1984,fj60,233000,2F,manual,white,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-19/
V8-Powered 1988 Toyota Land Cruiser FJ62,8500,2019-01-04,reserve not met,22781,578,48,5,new york,1988,fj62,2000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-10/
1984 Toyota Land Cruiser FJ60,17500,2018-12-31,reserve not met,19271,752,59,36,montana,1984,fj60,114000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-20/
1987 Toyota Land Cruiser FJ60,10500,2018-12-28,sold,17482,583,42,24,district of,1987,fj60,174000,2F,manual,gray,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-19/
1986 Toyota Land Cruiser FJ60,31000,2018-12-21,sold,18506,529,143,33,texas,1986,fj60,193000,2F,manual,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-5/
1985 Toyota Land Cruiser FJ60,22000,2018-12-12,sold,21152,793,112,42,montana,1985,fj60,91000,2F,manual,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-17/
1988 Toyota Land Cruiser FJ62,14000,2018-12-07,reserve not met,12450,592,52,10,california,1988,fj62,234000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-8/
1989 Toyota Land Cruiser FJ62 5-Speed,23000,2018-12-04,sold,46081,1137,125,26,north carolina,1989,fj62,141795,3F-E,manual,green,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-18/
V8-Powered 1981 Toyota Land Cruiser FJ60,16000,2018-11-29,reserve not met,14634,669,53,30,utah,1981,fj60,190000,Other(Swapped),automatic,,https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-2/
No Reserve: 1985 Toyota Land Cruiser HJ60 5-Speed,15750,2018-11-20,sold,14236,451,39,24,south carolina,1985,hj60,85000,2H,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-hj60/
1983 Toyota Land Cruiser FJ60,30275,2018-11-07,sold,17145,530,72,18,texas,1983,fj60,133000,2F,manual,brown,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-9/
1988 Toyota Land Cruiser FJ62,14500,2018-11-01,sold,13165,501,37,20,oregon,1988,fj62,215397,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-2/
1987 Toyota Land Cruiser FJ60,11750,2018-10-31,reserve not met,9017,392,17,11,arkansas,1987,fj60,201000,2H,manual,brown,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-6/
1983 Toyota Land Cruiser FJ60,34000,2018-10-25,sold,21904,813,80,38,california,1983,fj60,91000,2F,manual,blue,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-8/
1987 Toyota Land Cruiser FJ60,11250,2018-10-24,reserve not met,16114,695,65,32,texas,1987,fj60,161000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-16/
1989 Toyota Land Cruiser,8290,2018-10-24,reserve not met,9259,464,17,10,oregon,1989,fj62,187000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-7/
Original-Owner 1988 Toyota Land Cruiser FJ62,22500,2018-10-15,sold,13245,473,39,16,oregon,1988,fj62,185000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-4/
1987 Toyota Land Cruiser FJ60,15500,2018-10-08,sold,10945,491,90,27,california,1987,fj60,161000,2F,manual,,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-14/
1990 Toyota Land Cruiser FJ62,23000,2018-09-26,sold,13896,462,54,14,texas,1990,fj62,207000,3F-E,automatic,,https://bringatrailer.com/listing/1990-toyota-land-cruiser-11/
103k-Mile 1990 Toyota Land Cruiser FJ62,22000,2018-09-20,sold,9886,506,31,18,texas,1990,fj62,103000,3F-E,automatic,,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-11/
1987 Toyota Land Cruiser FJ60,16500,2018-09-19,reserve not met,12064,529,73,6,missouri,1987,fj60,192000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-13/
1984 Toyota Land Cruiser FJ60,37500,2018-09-06,sold,14830,527,70,25,california,1984,fj60,97000,2F,manual,tan,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-15/
1988 Toyota Land Cruiser,13750,2018-09-05,reserve not met,15513,618,19,24,north carolina,1988,fj62,197000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-19/
1988 Toyota Land Cruiser FJ62,18250,2018-09-03,reserve not met,8173,398,22,7,iowa,1988,fj62,170700,3F-E,automatic,,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62/
No Reserve: 1989 Toyota Land Cruiser FJ62,14000,2018-08-29,sold,13538,531,35,15,alabama,1989,fj62,231000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-14/
1989 Toyota Land Cruiser FJ62,12000,2018-08-16,sold,11448,433,50,20,texas,1989,fj62,294000,3F-E,automatic,,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-12/
1990 Toyota Land Cruiser FJ62,27500,2018-07-26,sold,16361,528,93,10,texas,1990,fj62,157000,3F-E,automatic,red,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-10/
