title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
No Reserve: Modified 1984 Toyota Land Cruiser FJ60 5-Speed,"22,500",10/13/2021,"10,187",631,41,22,"fish haven, idaho 83287",1984,fj60,197k,4.2-liter inline six,manual,blue paint,gray leather upholstery,"['chassis: jt3fj60g8e1114096', '197k miles shown', '4.2-liter inline six', 'h55 five-speed manual transmission', 'dual-range transfer case', 'front & rear air-locking differentials', 'blue paint', 'gray leather upholstery', 'konig 17"" wheels', 'air conditioning', 'old man emu lift kit', 'auxiliary power station', 'aftermarket bumpers & rock sliders', 'manafree headers & cat-back exhaust', 'tom woods driveshafts', 'spare parts', 'carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-63/
No Reserve: 1990 Toyota Land Cruiser FJ62,"27,500",10/13/2021,"5,989",456,32,21,"orlando, florida 32803",1990,fj62,181k,4.0-liter inline-six,automatic,two-tone light blue & dark gray,gray cloth upholstery,"['chassis: jt3fj62g7l1117260', '181k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'manually-locking hubs', 'two-tone light blue & dark gray', 'gray cloth upholstery', 'old man emu lift kit', 'arb bumper w/integrated winch', 'snorkel', 'flowmaster muffler', 'air conditioning', 'alpine touchscreen stereo', 'back-up camera', 'window sticker', 'clean carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-50/
1984 Toyota Land Cruiser FJ60,"29,750",10/7/2021,"7,686",528,15,30,"glendale, california 91206",1984,fj60,100k,4.2-liter inline-six,manual,red paint,brown leather upholstery,"['chassis: jt3fj60g3e1104320', '100k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'red paint', 'brown leather upholstery', 'manually-locking front hubs', 'tubular front bumper ', 'aftermarket touchscreen head unit ', 'backup camera', 'tow hooks', 'air conditioning', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-53/
1984 Toyota Land Cruiser FJ60,"31,250",10/3/2021,"10,996",569,17,11,"buckley, washington 98321",1984,fj60,192k,4.2-liter inline-six,manual,brown paint,brown cloth & vinyl upholstery,"['chassis: jt3fj60ge0087879', '192k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'brown paint', 'brown cloth & vinyl upholstery', 'arb front bumper & brush guard', 'old man emu suspension lift', 'black-finished wheels w/35"" tires', 'hitch receiver', 'air conditioning', 'aftermarket stereo', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-64/
1989 Toyota Land Cruiser FJ62,"15,100",9/27/2021,"9,107",570,23,24,"castle rock, colorado 80104",1989,fj62,271k,4.0l 3f-e inline-six,automatic,gray metallic paint,gray cloth & vinyl upholstery,"['chassis: jt3fj62g9k1110440', '271k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'manually-locking front hubs', 'gray metallic paint', 'gray cloth & vinyl upholstery', 'air conditioning', 'power accessories', 'kenwood head unit', 'receiver hitch', 'roof cross bars', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-80/
1FZ-Powered 1989 Toyota Land Cruiser FJ62 5-Speed,"27,000",9/26/2021,"14,576",723,38,14,"fort lauderdale, florida 33316",1989,fj62,200k,4.5-liter 1fz inline-six,manual,repainted blue ,reupholstered tan leather interior ,"['chassis: fj62110297', 'imported to us from colombia', 'left-hand drive', '322k kilometers (~200k miles) shown, tmu', '4.5-liter 1fz inline-six', 'five-speed manual h151f transmission', 'dual-range transfer case ', 'repainted blue ', 'reupholstered tan leather interior ', '15"" steel wheels w/33"" tires ', 'dobinsons suspension components ', 'receiver hitch', 'air conditioning ', 'pioneer touchscreen head unit', 'jl audio subwoofer', 'importation documentation']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-102/
350-Powered 1985 Toyota Land Cruiser FJ60,"42,000",9/19/2021,"11,650",706,56,23,"beaverton, oregon 97008",1985,fj60,211k,350ci ram jet v8,manual,silver paint,patterned gray cloth upholstery,"['chassis: jt3fj60g7f1128329', '211k miles shown', '350ci ram jet v8', 'four-speed manual transmission', 'dual-range transfer case', 'arb air locking rear differential ', 'silver paint', 'patterned gray cloth upholstery', 'gray sheepskin seat covers', '15"" black steel wheels w/ bf goodrich ko2 tires', 'manually-locking front hubs', 'power-assisted front disc brakes', 'arb front bumper w/ brush guard', 'piaa driving lights', 'rear hitch receiver', 'air conditioning', 'kenwood stereo receiver w/ subwoofer', 'alarm w/ power door locks', 'service records', 'spare parts', 'car cover', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-90/
No Reserve: 1987 Toyota Land Cruiser FJ60,"17,000",9/12/2021,"12,141",716,33,47,"south hamilton, massachusetts 01982",1987,fj60,235k,4.2-liter inline-six,manual,beige paint,tan cloth upholstery,"['chassis: jt3fj60g4h1136908', '235k miles', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'beige paint', 'tan cloth upholstery', '15"" chrome wheels', 'air conditioning', 'manually-locking front hubs', 'rear window wiper', 'aftermarket stereo', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-83/
1989 Toyota Land Cruiser FJ62,"27,000",9/9/2021,"9,395",546,29,21,"austin, texas 78725",1989,fj62,172k,4.0-liter inline-six,automatic,repainted white,gray cloth and vinyl upholstery,"['chassis: jt3fj62g3k1103760', '172k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'repainted white', 'gray cloth and vinyl upholstery', 'white-painted 15"" wheels', 'manually-locking front hubs', 'air conditioning', 'rear heater', 'am/fm cassette stereo', 'power windows, mirrors, & door locks', 'window sticker', 'partial service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-82/
350-Powered 1987 Toyota Land Cruiser FJ60,"35,500",9/6/2021,"11,445",735,24,26,"amarillo, texas 79109",1987,fj60,187k,350ci v8,automatic,refinished in white,tan cloth & brown vinyl upholstery ,"['chassis: jt3fj60g2h1135613', '187k miles shown', '350ci v8', 'four-speed automatic transmission', 'dual-range transfer case ', 'refinished in white', 'tan cloth & brown vinyl upholstery ', '15"" alloy wheels w/ 31"" tires ', 'headlight washers', 'split rear tailgate ', 'air conditioning ', 'aftermarket sony stereo ', 'bilstein shock absorbers ', 'accident-free carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-82/
1985 Toyota Land Cruiser FJ60,"25,250",9/2/2021,"9,359",668,28,53,"erie, colorado 80516",1985,fj60,299k,4.2l 2f inline-six,manual,silver paint,gray cloth upholstery ,"['chassis: jt3fj60gxf1128759', '299k miles shown', '4.2l 2f inline-six', 'four-speed manual transmission ', 'dual-range transfer case', 'silver paint', 'gray cloth upholstery ', 'chrome 15"" steel wheels', 'power-assisted front disc brakes', 'manually-locking front hubs', 'air conditioning', 'rear seat heater', 'aftermarket altimeter', 'kenwood am/fm cassette player', 'removed stock radio ', ""manufacturer's literature"", 'pre-delivery service paperwork']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-89/
1988 Toyota Land Cruiser FJ62,"37,000",8/27/2021,"10,961",671,36,57,"columbia, south carolina 29205",1988,fj62,187k,4.0 3f-e inline-six,automatic,beige metallic,beige cloth upholstery,"['chassis: jt3fj62g6j0093939', '187k miles shown', '4.0 3f-e inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'beige metallic', 'beige cloth upholstery', '15"" wheels', 'air conditioning ', 'power windows & locks', 'window sticker', 'tool kit', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-74/
1987 Toyota Land Cruiser FJ60,"44,000",8/24/2021,"13,304",825,39,36,"sonoita, arizona 85637",1987,fj60,189k,rebuilt 4.2-liter inline-six,manual,white paint,brown cloth upholstery,"['chassis: jt3fj60g4h1139193', '189k miles', 'rebuilt 4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'white paint', 'brown cloth upholstery', 'old man emu suspension lift', 'air conditioning', 'carpeted dash cover', 'manually locking front hubs', 'chrome 15"" wheels']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-73/
LSA-Powered 1990 Toyota Land Cruiser FJ62,"127,500",8/20/2021,"39,039","1,086",114,28,"everett, washington 98201",1990,fj62,38k,6.2-liter supercharged lsa,automatic,gray paint,gray leather upholstery,"['chassis: jt3fj62g1l1120705', '38k miles shown, tmu', '6.2-liter supercharged lsa', 'six-speed automatic transmission', 'gray paint', 'gray leather upholstery', '17"" icon wheels', 'dual-range transfer case', 'led lights', 'custom bumpers', 'fzj80 frame', '3"" suspension lift', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-95/
No Reserve: 1988 Toyota Land Cruiser FJ62,"28,500",8/19/2021,"9,592",614,18,21,"knoxville, tennessee 37919",1988,fj62,265k,4.0l 3f-e inline-six,automatic,light blue & dark gray metallic paint,gray cloth upholstery,"['chassis: jt3fj62g7j0095229', '265k miles shown, tmu', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'two-speed transfer case ', 'light blue & dark gray metallic paint', 'gray cloth upholstery', 'air conditioning ', 'power windows & locks ', 'carfax report ']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-73/
1989 Toyota Land Cruiser FJ62,"73,000",8/14/2021,"11,270",613,37,37,"pine mountain, georgia 31822",1989,fj62,67k,4.0l inline-six,automatic,gray metallic paint,gray cloth upholstery,"['chassis: jt3fj62g2k1111770', '67k miles shown', '4.0l inline-six', 'four-speed automatic transmission', 'gray metallic paint', 'gray cloth upholstery', '15"" wheels', 'dual-range transfer case', 'air conditioning ', 'power accessories', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-84/
No Reserve: 1986 Toyota Land Cruiser FJ60,"19,200",8/7/2021,"16,180",836,42,29,"evanston, illinois 60201",1986,fj60,159k,4.2-liter inline-six,manual,blue paint,gray cloth & vinyl upholstery ,"['chassis: jt3fj60g7g1133581', '159k miles shown', '4.2-liter inline-six', '4-speed manual transmission ', 'dual-range transfer case', 'blue paint', 'gray cloth & vinyl upholstery ', 'aftermarket driving lights', 'chrome 15"" wheels', 'manually locking front hubs', 'air conditioning ', 'tuffy locking center console', 'pioneer cd stereo w/ aux-in', 'kicker subwoofers', 'clutch components in 2020', ""owner's manual"", 'recent service records', 'carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-37/
No Reserve: 1985 Toyota Land Cruiser FJ60,"22,250",8/3/2021,"11,244",710,24,29,"glen allen, virginia 23059",1985,fj60,166k,4.2-liter inline-six,manual,refinished beige,brown upholstery,"['chassis: jt3fj60g0f1130004', '166k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'refinished beige', 'brown upholstery', 'manually-locking front hubs', '15"" american racing wheels', 'old man emu lift', 'arb roof rack', 'kenwood stereo', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-85/
1989 Toyota Land Cruiser FJ62,"34,000",7/31/2021,"9,645",621,16,20,"chicago, illinois 60611",1989,fj62,154k,4.0l inline-six,automatic,metallic beige exterior,beige cloth upholstery,"['chassis: jt3fj62g0k1111430', '154k miles shown', '4.0l inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'metallic beige exterior', 'beige cloth upholstery', 'tinted windows', '15"" chrome wheels', 'arb front bumper', 'power accessories', 'factory am/fm cassette stereo', 'air conditioning', 'partial service records ']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-91/
1984 Toyota Land Cruiser FJ60 5-Speed 4×4,"20,000",7/30/2021,"5,276",359,6,1,"austin, texas 78704",1984,fj60,107k,4.2-liter inline-six ,manual,red paint,tan upholstery,"['chassis: fj60081954', '172k kilometers (~107k miles) shown', '4.2-liter inline-six ', 'five-speed manual transmission', 'dual-range transfer case', 'red paint', 'tan upholstery', 'chrome bumpers', 'silver roof rack', '15"" wheels', 'air conditioning', 'aftermarket stereo', ""manufacturer's literature""]",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-55/
1985 Toyota Land Cruiser FJ60,"26,000",7/28/2021,"11,119",755,24,34,"durango, colorado 81301",1985,fj60,193k,4.2-liter inline-six,manual,repainted silver,gray vinyl & cloth upholstery,"['chassis: jt3fj60gxf1128146', '193k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'repainted silver', 'gray vinyl & cloth upholstery', 'old man emu suspension kit', 'manually locking front hubs', 'receiver hitch', 'led headlights', 'air conditioning', 'kenwood head unit', 'yaesu transceiver', 'cool cruisers center console', 'tool roll', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-86/
1989 Toyota Land Cruiser FJ62,"40,750",7/24/2021,"11,203",685,35,32,"mesa, arizona 85201",1989,fj62,210k,4.0-liter inline-six,automatic,two-tone bronze paint ,brown interior,"['chassis: jt3fj62g1k1110822', '210k miles shown ', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'two-tone bronze paint ', 'brown interior', 'chrome 15"" steel wheels w/bfgoodrich tires ', 'r134a air conditioning ', 'clean carfax report ']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-89/
Original-Owner 1989 Toyota Land Cruiser FJ62,"76,000",7/21/2021,"20,709",983,155,57,"carmichael, california 95608",1989,fj62,65k,4.0-liter inline-six,automatic,finished in red,gray patterned cloth upholstery,"['chassis: jt3fj62g4k1110913', '65k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'finished in red', 'gray patterned cloth upholstery', '15"" alloy wheels', 'front brush guard', 'air conditioning', 'garmin navigation', 'window sticker', ""manufacturer's literature"", 'spare parts']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-92/
Modified 1984 Toyota Land Cruiser FJ60,"51,777",7/20/2021,"16,961",739,63,52,"heath, ohio 43056",1984,fj60,181k,overbored 4.2l inline-six,manual,refinished in drab green,tan leather corbeau bucket seats,"['chassis: jt3fj60g0e1123360', '181k miles shown', 'overbored 4.2l inline-six', 'howell throttle body fuel injection system', '4-speed manual transmission', 'dual-range transfer case', 'refinished in drab green', 'tan leather corbeau bucket seats', 'steel front & rear bumpers', 'custom roof rack & sliders', 'swing-out rear carrier', 'warn winch', 'arb twin air compressor', 'lazer star led auxiliary lighting', 'air conditioning', 'aftermarket stereo', 'tepui roof tent', 'rhino side awning', 'freezer chest & pull-out camp stove', 'accident-free carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-54/
1990 Toyota Land Cruiser FJ62,"36,750",7/18/2021,"11,297",620,22,13,"santa barbara, california 93109",1990,fj62,208k,4.0-liter inline-six,automatic,blue paint,gray cloth upholstery,"['chassis: jt3fj62g5l1115832', '208k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'blue paint', 'gray cloth upholstery', '15"" chrome wheels', 'manually-locking front hubs', 'old man emu leaf springs', 'air conditioning', 'electric windows', 'pioneer stereo w/ bluetooth & apple carplay', 'partial service records', 'accident-free carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-47/
No Reserve: 1989 Toyota Land Cruiser FJ62,"25,000",7/17/2021,"12,773",824,25,30,"saint petersburg, florida 33710",1989,fj62,205k,4.0-liter inline-six,automatic,repainted beige metallic,brown vinyl upholstery,"['chassis: jt3fj62g9k1112723', '205k miles', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'repainted beige metallic', 'brown vinyl upholstery', 'silver-finished 15"" wheels', 'dobinsons suspension lift', 'manually-locking front hubs', 'air conditioning', 'power windows & door locks', 'blaupunkt head unit', ""owner's manual & tool kit"", 'carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-90/
1985 Toyota Land Cruiser FJ60 5-Speed,"46,000",7/16/2021,"14,428",755,52,28,"huntington, new york 11743",1985,fj60,65k,4.2-liter 2f inline-six,manual,repainted in freeborn red ,gray cloth interior ,"['chassis: jt3fj60g4f1128224', '65k miles shown ', '4.2-liter 2f inline-six', 'h55f five-speed manual transmission ', 'resealed transfer case ', 'repainted in freeborn red ', 'gray cloth interior ', 'old man emu suspension components ', 'upgraded audio components ', 'gamiviti roof rack', 'recent clutch and rear main seal', 'service records', 'clean carfax report ']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-84/
1983 Toyota Land Cruiser FJ60,"28,750",7/15/2021,"10,189",709,17,29,"oklahoma city, oklahoma 73179",1983,fj60,154k,4.2-liter inline-six  ,manual,white exterior,brown cloth and vinyl upholstery,"['chassis: jt3fj60g3d0079455', '154k miles shown, tmu', '4.2-liter inline-six  ', 'four-speed manual transmission', 'dual-range transfer case', 'white exterior', 'brown cloth and vinyl upholstery', '15"" chrome wheels', 'air conditioning', 'roof rack', 'custom autosound head unit', 'receiver hitch', 'lifted suspension', 'clean carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-32/
1988 Toyota Land Cruiser HJ60 High Roof,"14,751",7/13/2021,"15,507",638,34,15,"sheridan, wyoming 82801",1988,hj60,152k,4.0-liter inline-six diesel,automatic,dark green paint,gray upholstery,"['chassis: hj60043473', '245k kilometers (~152k miles)', '4.0-liter inline-six diesel', 'four-speed automatic transmission', 'dual-range transfer case', 'warn manually locking hubs', 'dark green paint', 'gray upholstery', 'high roof body', 'front push bumper', 'hitch receiver', 'aftermarket stereo']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-34/
1985 Toyota Land Cruiser FJ60,"24,500",7/8/2021,"10,466",802,41,32,"costa mesa, california 92627",1985,fj60,65k,4.2-liter inline-six,manual,refinished in silver ,gray vinyl & cloth upholstery,"['chassis: jt3fj60g7f1129576', '65k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual range transfer case', 'refinished in silver ', 'gray vinyl & cloth upholstery', 'front driving lights', '15"" cragar wheels / w 31"" tires', 'manually locking front hubs', 'air conditioning', 'factory am/fm radio', 'tool roll', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-82/
1990 Toyota Land Cruiser FJ62,"21,700",7/6/2021,"10,101",723,30,44,"boca raton, florida 33434",1990,fj62,225k,4.0-liter inline-six,automatic,two-tone metallic beige and gray,gray cloth upholstery ,"['chassis: jt3fj62gol119996', '225k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'two-tone metallic beige and gray', 'gray cloth upholstery ', '15"" chrome wheels', 'old man emu lift kit', 'manually-locking front hubs', 'roof rack w/ladder', 'air conditioning', 'pioneer infotainment system', 'recent service records']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-45/
1985 Toyota Land Cruiser FJ60,"33,500",7/1/2021,"9,879",667,32,34,"chapel hill, north carolina 27516",1985,fj60,206k,4.2-liter 2f inline-six,manual,repainted red,gray cloth and vinyl upholstery,"['chassis: jt3fj60g8f1129425', '206k miles', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'repainted red', 'gray cloth and vinyl upholstery', 'chrome-clad 15"" steel wheels', 'man a fre exhaust system', 'front disc brakes', 'manually locking front hubs', 'push-button am/fm radio', 'air conditioning', 'window sticker and factory brochures', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-81/
1989 Toyota Land Cruiser FJ62,"30,250",6/29/2021,"12,948",772,27,23,"hendersonville, north carolina 28791",1989,fj62,124k,4.0-liter inline-six,automatic,gray metallic,gray cloth upholstery ,"['chassis: jt3fj62g4k1105582', '124k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'gray metallic', 'gray cloth upholstery ', '15"" wheels', 'yakama roof rack', 'kyb shock absorbers', 'replacement windshield', 'service records', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-20/
No Reserve: 1983 Toyota Land Cruiser FJ60 Project,"11,500",6/23/2021,"11,179",575,61,59,"sandy, utah 84070",1983,fj60,156k,4.2-liter inline-six,manual,cream paint,gray and brown upholstery,"['chassis: jt3fj60g3d0074370', '156k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'cream paint', 'gray and brown upholstery', 'bestop front seats', 'aftermarket cd player', 'air conditioning', 'clean carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-31/
1990 Toyota Land Cruiser FJ62,"26,250",6/22/2021,"10,965",670,28,60,"marietta, georgia 30068",1990,fj62,217k,4.0-liter inline-six,automatic,beige metallic paint,brown upholstery,"['chassis: jt3fj62gxl1120783', '217k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'brown upholstery', 'chrome 15"" wheels', 'air conditioning', 'power windows and locks', 'rearview camera', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-46/
1989 Toyota Land Cruiser FJ62,"35,250",6/13/2021,"11,685",685,27,21,"fort collins, colorado 80524",1989,fj62,207k,4.0l 3f-e inline-six,automatic,white exterior,gray cloth upholstery,"['chassis: jt3fj62g7k1106631', '207k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'white exterior', 'gray cloth upholstery', 'repainted in 2019', '15"" chrome-finish wheels', 'manually locking front hubs', 'roof rails', 'power windows', 'kenwood stereo w/ usb & auxiliary inputs', 'haynes repair manual', 'catalytic converter & exhaust muffler replaced', 'fluids for transfer case & differentials changed in 2020', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-78/
1988 Toyota Land Cruiser FJ62,"22,000",6/9/2021,"7,088",509,28,24,"austin, texas 78723",1988,fj62,256k,4.0l inline-six,automatic,light blue over gray metallic paint,gray cloth,"['chassis: jt3fj62g5j0074685', '256k miles shown', '4.0l inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'light blue over gray metallic paint', 'gray cloth', '16"" method race wheels', 'old man emu suspension lift', 'off-road lights', 'tinted windows', 'pioneer touch-screen head unit', 'kenwood subwoofer', 'power accessories', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-69/
No Reserve: Vortec-Powered 1990 Toyota Land Cruiser FJ62,"65,000",6/7/2021,"13,706",642,36,19,"houston, texas 77055",1990,fj62,250k,5.3-liter vortec v8,automatic,repainted metallic gray,reupholstered gray vinyl,"['chassis: jt3fj62g1l1120512', '250k miles shown, tmu', '5.3-liter vortec v8', '4-speed automatic transmission', 'dual-range transfer case', 'repainted metallic gray', 'reupholstered gray vinyl', '15"" steel wheels', 'old man emu suspension', 'heavy-duty bumpers', 'roof rack w/awning', 'air conditioning', 'sony stereo', 'rockford fosgate sound system', 'removed factory parts', ""owner's manual"", 'carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-44/
1987 Toyota Land Cruiser FJ60,"34,013",6/6/2021,"11,241",578,28,5,"san diego, california 92110",1987,fj60,222k,4.2-liter inline-six,manual,repainted in white ,brown cloth & vinyl upholstery ,"['chassis: jt3fj60g8h1138922', '222k miles shown ', '4.2-liter inline-six', 'h55f five-speed manual transmission ', 'dual-range transfer case ', 'repainted in white ', 'brown cloth & vinyl upholstery ', 'old man emu suspension lift ', 'aftermarket audio components ', 'longterm california registration', 'clean carfax report ']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-76/
1985 Toyota Land Cruiser FJ60,"12,550",6/3/2021,"10,451",562,21,23,"houston, texas 77007",1985,fj60,243k,rebuilt 4.2-liter inline-six,manual,beige metallic exterior,brown vinyl & tan cloth upholstery,"['chassis: jt3fj60g8f1132213', '243k miles shown', 'rebuilt 4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'beige metallic exterior', 'brown vinyl & tan cloth upholstery', 'lifted suspension', 'old man emu springs & nitrocharger front shocks', 'manually locking front hubs', 'air conditioning', 'clutch assembly replaced in 2017', 'bluetooth-capable pioneer stereo', 'recent service records', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-80/
V8-Powered 1987 Toyota Land Cruiser FJ60,"29,500",5/31/2021,"13,258",740,28,37,"kingwood, texas 77339",1987,fj60,179k,350ci v8,manual,gray paint ,black leather front seats ,"['chassis: jt3fj60g5h1139266', '179k miles shown', '350ci v8', 'h55 5-speed manual transmission ', 'gray paint ', 'black leather front seats ', 'aftermarket front & rear bumpers ', 'warn winch ', '17"" american eagle wheels ', 'pioneer stereo', 'service records']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-75/
1987 Toyota Land Cruiser FJ60 Turbodiesel,"49,750",5/30/2021,"11,818",528,32,22,"richmond, kentucky 40475",1987,fj60,3k,replacement 4.2-liter turbodiesel inline-six,manual,tan over beige cloth,nan,"['chassis: jt3fj60g6h1139146', '3k miles shown, tmu', 'replacement 4.2-liter turbodiesel inline-six', 'five-speed manual transmission', 'two-speed transfer case', 'tan over beige cloth', 'timing belt service in 2018', 'aftermarket bumpers', 'winch & led lighting ', 'roof rack', '17"" wheels', 'modified suspension ', 'scheel-mann front seats', 'speedhut instrumentation', 'wagongear rear storage areas', 'service records ', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-74/
1989 Toyota Land Cruiser FJ62,"33,500",5/27/2021,"10,268",651,30,48,"evergreen, colorado 80439",1989,fj62,176k,4.0l 3f-e inline-six,automatic,refinished in beige metallic,adobe cloth & brown vinyl upholstery,"['chassis: jt3fj62g8k1112342', '176k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'refinished in beige metallic', 'adobe cloth & brown vinyl upholstery', '15"" chrome wheels w/ 31"" replacement tires', 'quad headlights', 'split rear tailgate', 'power locks & windows', 'r134a-converted air conditioning', 'aftermarket jvc stereo', 'recent service', 'window sticker & purchase documents ', 'clean carfax report ']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-77/
1986 Toyota Land Cruiser FJ60 5-Speed,"26,500",5/24/2021,"9,647",583,22,13,"san diego, california 92127",1986,fj60,158k,4.2-liter inline-six,manual,silver metallic paint,gray cloth upholstery,"['chassis: jt3fj60g9g1133999', '158k miles shown', '4.2-liter inline-six', 'h55f 5-speed manual transmission', 'dual-range transfer case', 'silver metallic paint', 'gray cloth upholstery', 'old man emu suspension lift', 'kaymar rear bumper', 'safari gard front bumper', 'hella driving lamps', 'clean carfax report ']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-35/
Vortec-Powered 1985 Toyota Land Cruiser FJ60,"30,000",5/21/2021,"10,543",533,17,10,"forest grove, oregon 97116",1985,fj60,276k,5.7-liter vortec v8,automatic,white paint ,gray cloth & vinyl upholstery ,"['chassis: jt3fj60g9f1129918', '276k miles shown', '5.7-liter vortec v8', '4l60e automatic transmission ', 'white paint ', 'gray cloth & vinyl upholstery ', 'old man emu suspension lift ', 'gobi roof rack w/lights & tools', 'tjm yulara rooftop tent ', 'aftermarket stereo & alarm w/keyless entry', 'samsung tablet', 'clean carfax report ']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-79/
