title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1985 Toyota Land Cruiser FJ60 5-Speed,"9,700",11/21/2017,"18,687",337,54,14,"colorado springs, colorado 80906",1985,fj60,"385,828",rebuilt 4.0l inline-six,manual,nan,nan,"['chassis: jt3fj60g5f1129558', '385,828 miles', 'rebuilt 4.0l inline-six', 'new 5-speed h55 manual', 'old man emu suspension', 'arb front bumper', 'smittybuilt winch', 'corbeau seats', 'family owned from new']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-7/
1988 Toyota Land Cruiser FJ62,"4,500",11/15/2017,"15,593",358,49,12,"bozeman, montana",1988,fj62,190k,4.0l 3f-e inline-six,automatic,nan,nan,"['chassis: jt3fj62g7j0075353', '190k miles shown', '4.0l 3f-e inline-six', '4-speed automatic transmission', 'newer firestone destination tires', 'recent maintenance', 'corrosion repair', 'aftermarket stereo', 'clean carfax']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-3/
1982 Toyota Land Cruiser FJ60,"12,600",11/7/2017,"12,858",423,33,16,"carlsbad, california 92009",1982,fj60,"187,366",4.2 liter f inline-six engine,manual,recent windows-out repaint,nan,"['chassis: jt3fj60g9c0026791', '187,366 miles shown', '4.2 liter f inline-six engine', '4-speed manual transmission', 'new clutch master and slave cylinder', 'new brake master cylinder', 'old man emu 3.5"" lift', 'arb front bumper', 'recent windows-out repaint', 'original chrome wheels and bumper included']",https://bringatrailer.com/listing/1982-toyota-fj60/
1987 Toyota Land Cruiser FJ60,"13,000",10/31/2017,"16,551",394,61,19,"vancouver, british columbia, canada",1987,fj60,220k,4.2l inline-six,manual,nan,nan,"['chassis: jt3fj60g2h1139676', '220k miles shown', 'california truck', 'imported to vancouver', '4.2l inline-six', '4-speed manual transmission', 'clean carfax']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-7/
1985 Toyota Land Cruiser FJ60 4-Speed,"11,000",9/28/2017,"14,071",362,42,24,"springfield, missouri 65804",1985,fj60,"191,752",2f 4.2l inline-six,manual,2010 repaint,largely stock interior,"['chassis: jt3fj60g0f1128995', '191,752 miles', '2f 4.2l inline-six', '4-speed manual transmission', '2010 repaint', 'ome 2.5"" lift', 'arb bull bar', 'hella driving lights', 'warn winch', '33"" bfgoodrich a/t tires', 'largely stock interior', 'recent mechanical servicing', 'carfax report included']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-6/
V8-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,"18,500",9/5/2017,"30,833",527,66,19,"folsom, california 95630",1985,fj60,197k,5.7l tbi v8,nan,nan,nan,"['chassis: jt3fj60g4f1131611', '197k miles', '5.7l tbi v8', '5-speed transmission', 'bar-legal', 'arb lockers', 'arb front bumper and rack']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-5/
1983 Toyota Land Cruiser FJ60,"19,750",8/29/2017,"18,682",313,48,11,"jacksonville, florida 32207",1983,fj60,nan,4.2l inline-six,manual,nan,nan,"['chassis: jt3fj60g2d0062081', '4.2l inline-six', '4-speed manual', 'arb front bumper', 'stock suspension', 'new shocks, brakes, tires', 'new radiator', 'clean carfax']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-2/
No Reserve: 1984 Toyota Land Cruiser FJ60,"5,300",8/25/2017,"21,596",400,41,11,"ann arbor, michigan 48104",1984,fj60,"153,700",4.2 liter 2f inline-6 engine,manual,older repaint,nan,"['chassis: jt3fj60g5e0082603', '153,700 miles shown', '4.2 liter 2f inline-6 engine', '4-speed manual transmission', 'fj62 front end', 'older repaint', '2.5"" old man emu lift', '15"" wheels w/ 33"" tires', 'new carburetor', 'new exhaust', 'clean autocheck']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-4/
V8-Powered 1982 Toyota Land Cruiser FJ60 5-Speed,"9,000",8/22/2017,"15,475",369,62,12,"ventura, california 93001",1982,fj60,248k,350ci chevrolet v8,manual,recently painted,nan,"['chassis: jt3f60g9c0025527', '248k miles shown, tmu', '350ci chevrolet v8', 'nv 4500 5-speed manual', 'old man emu 3"" lift', 'recently painted', 'new front and rear seats', 'service records from 2007 to present']",https://bringatrailer.com/listing/1982-toyota-fj-60-land-cruiser/
1990 Toyota Land Cruiser FJ62,"17,500",8/18/2017,"29,881",480,35,33,"edgewater, new jersey 07020",1990,fj62,112k,3f-e 4.0l inline-six,automatic,nan,nan,"['chassis: jt3fj62g8l1121219', '112k miles shown', '3f-e 4.0l inline-six', 'a440f 4-speed automatic transmission', 'lift kit with poly bushings', 'old man emu dakar leaf springs', '33"" bfgoodrich tires', 'driving lights', 'arb front bumper', 'aftermarket stereo', 'r134a a/c conversion']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-2/
1989 Toyota Land Cruiser HJ61,"10,000",8/15/2017,"22,057",314,44,27,"rego park, new york 11374",1989,hj61,"144,881",4.0 liter 12h-t inline-six turbodiesel engine,automatic,nan,nan,"['chassis: hj61014296', 'japanese domestic model rhd', '233,163 kms (144,881 miles), 134,332 kms shown', '4.0 liter 12h-t inline-six turbodiesel engine', 'automatic transmission', 'new 4wd solenoid', 'new front rotors and pads', '1.5""/2"" lift', 'old man emu steering stabilizer', 'r134a conversion']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-3/
1989 Toyota Land Cruiser FJ62,"16,500",6/29/2017,"21,397",331,88,37,"costa mesa, california 92627",1989,fj62,"227,657",4.0 liter 3f-e inline-six engine,automatic,nan,nan,"['chassis: jt3fj62g4k1107395', '227,657 miles', '4.0 liter 3f-e inline-six engine', '4-speed automatic transmission', 'engine rebuilt in 2000 at 120k miles', 'new engine and transmission seals', 'new water pump, thermostat, drive belt, and hoses', 'old man emu 3"" lift', 'records from previous and current ownership']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-5/
1987 Toyota Land Cruiser FJ60,"7,750",6/6/2017,"14,644",239,34,31,"golf, illinois 60029",1987,fj60,337k,4.2-liter straight-six,manual,nan,nan,"['chassis: jt3fj60g4h1140098', '337k miles shown, tmu', '4.2-liter straight-six', 'rebuilt 4-speed manual', 'rebuilt transfer case', 'locking differentials', 'roof rack', 'oversized tires']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60/
1984 Toyota Land Cruiser FJ60 4-Speed,"9,000",5/30/2017,"11,553",242,33,35,"la pine, oregon 97739",1984,fj60,218k,4.2l 2f inline-six,manual,nan,nan,"['chassis: jt3fj60g7e1124179', '218k miles shown', '4.2l 2f inline-six', '4-speed manual transmission', 'regularly serviced', 'monroe shocks', 'arb roof rack', 'arb bull bar']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-3/
1988 Toyota Land Cruiser FJ62,"8,600",5/24/2017,"18,532",258,40,26,"san clemente, california ",1988,fj62,"267,175",4.0l 3f-e inline-six,automatic,nan,nan,"['chassis: jt3fj62g1j0079625', '267,175 miles shown', '4.0l 3f-e inline-six', '4-speed a440f automatic transmission', '3"" old man emu lift kit', 'five new tires and wheels', 'clean carfax']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-6/
No Reserve: 1987 Toyota Land Cruiser FJ60 4-Speed,"8,400",5/23/2017,"14,712",302,49,35,"henderson, nevada",1987,fj60,147k,2f 4.2 liter inline-six,manual,original white exterior,tan & brown interior,"['chassis: jt3fj60g0h1139854', '147k miles shown', 'three-owner example', 'original white exterior', 'tan & brown interior', '2f 4.2 liter inline-six', '4-speed manual', 'new windshield & starter']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-4/
